I_tot,I_detected,t_first_detection,I_t_detection
187,109,9.1,11.0
185,118,4.1000000000000005,3.0
3,0,NaN,NaN
1,1,10.100000000000001,1.0
1,0,NaN,NaN
2,1,12.100000000000001,2.0
1,1,8.1,1.0
154,87,8.1,1.0
186,112,6.1000000000000005,11.0
1,0,NaN,NaN
1,1,8.1,1.0
1,0,NaN,NaN
1,1,4.1000000000000005,1.0
1,1,7.1000000000000005,1.0
3,3,6.1000000000000005,3.0
1,1,3.1,1.0
1,1,8.1,1.0
185,113,6.1000000000000005,6.0
1,1,8.1,1.0
1,0,NaN,NaN
2,1,11.100000000000001,2.0
182,105,7.1000000000000005,22.0
1,0,NaN,NaN
2,1,4.1000000000000005,1.0
14,7,13.100000000000001,10.0
129,82,11.100000000000001,17.0
1,1,24.1,1.0
1,1,6.1000000000000005,1.0
1,1,5.1000000000000005,1.0
184,107,9.1,13.0
182,102,5.1000000000000005,9.0
8,3,8.1,2.0
177,99,13.100000000000001,46.0
5,3,2.1,1.0
1,1,9.1,1.0
152,99,5.1000000000000005,5.0
1,1,15.100000000000001,1.0
161,100,7.1000000000000005,2.0
1,0,NaN,NaN
1,1,6.1000000000000005,1.0
1,0,NaN,NaN
1,1,14.100000000000001,1.0
1,1,6.1000000000000005,1.0
1,1,7.1000000000000005,1.0
1,1,4.1000000000000005,1.0
179,118,8.1,2.0
1,0,NaN,NaN
162,97,3.1,1.0
1,0,NaN,NaN
1,1,8.1,1.0
1,1,3.1,1.0
181,104,5.1000000000000005,29.0
1,0,NaN,NaN
1,1,4.1000000000000005,1.0
169,103,7.1000000000000005,8.0
1,1,4.1000000000000005,1.0
17,9,11.100000000000001,3.0
157,100,3.1,10.0
1,0,NaN,NaN
1,0,NaN,NaN
1,1,12.100000000000001,1.0
2,0,NaN,NaN
6,2,15.100000000000001,3.0
1,1,13.100000000000001,1.0
2,1,17.1,2.0
1,1,10.100000000000001,1.0
5,3,7.1000000000000005,1.0
1,0,NaN,NaN
166,108,2.1,1.0
1,0,NaN,NaN
179,104,7.1000000000000005,10.0
7,4,10.100000000000001,6.0
170,111,11.100000000000001,17.0
181,118,7.1000000000000005,9.0
1,1,4.1000000000000005,1.0
1,1,3.1,1.0
1,1,7.1000000000000005,1.0
1,1,10.100000000000001,1.0
169,107,8.1,1.0
1,0,NaN,NaN
1,1,12.100000000000001,1.0
189,112,9.1,2.0
1,0,NaN,NaN
1,1,8.1,1.0
1,0,NaN,NaN
171,114,11.100000000000001,8.0
2,2,6.1000000000000005,1.0
1,0,NaN,NaN
68,40,6.1000000000000005,2.0
1,0,NaN,NaN
1,1,5.1000000000000005,1.0
1,1,3.1,1.0
180,112,4.1000000000000005,9.0
1,1,13.100000000000001,1.0
181,121,15.100000000000001,22.0
1,0,NaN,NaN
1,1,3.1,1.0
